symptom1,symptom2,symptom3,medical_history,diagnosis

Fever,Cough,Fatigue,None,Flu

Headache,Nausea,Dizziness,Migraines,Migraine

Chest Pain,Shortness of Breath,Arm Pain,Hypertension,Heart Attack

Itchy Eyes,Sneezing,Runny Nose,Allergies,Hay Fever

Abdominal Pain,Bloating,Diarrhea,None,Food Poisoning

Sore Throat,Fever,Body Aches,None,Common Cold

Rash,Fever,Joint Pain,None,Measles

Frequent Urination,Excessive Thirst,Weight Loss,Obesity,Diabetes

Wheezing,Cough,Shortness of Breath,Asthma,Asthma Attack

Fever,Stiff Neck,Confusion,None,Meningitis

Runny Nose,Congestion,Facial Pain,Sinus Infection,Sinusitis

Fever,Vomiting,Abdominal Cramps,None,Gastroenteritis

Fatigue,Muscle Aches,Loss of Appetite,Depression,Depression

Cough,Chest Tightness,Shortness of Breath,Smoking,Chronic Obstructive Pulmonary Disease

Fever,Swollen Glands,Sore Throat,Recent Strep Exposure,Strep Throat

Fever,White Spots on Tonsils,Difficulty Swallowing,None,Tonsillitis

Burning Urination,Urgency to Urinate,Blood in Urine,Sexual Activity,Urinary Tract Infection

Fatigue,Rash,Muscle Aches,Recent Tick Bite,Lyme Disease

Fever,Confusion,Seizure,Head Injury,Concussion

Nausea,Vomiting,Diarrhea,Travel History,Traveler's Diarrhea

Abdominal Pain,Diarrhea,Weight Loss,Family History of IBS,Inflammatory Bowel Disease

High Blood Pressure,Headache,Vision Changes,Pregnant,Pre-Eclampsia

Nausea,Vomiting,Fatigue,Missed Period,Pregnancy

Loss of Taste/Smell,Fever,Cough,Recent Travel,COVID-19

Muscle Aches,Fever,Chills,Travel to Malaria Prone Area,Malaria

Diarrhea,High Fever,Abdominal Cramps,Contaminated Water,Typhoid Fever

Fever,Cough,Fatigue,Recent Exposure to Sick Child,Common Cold

Headache,Nausea,Dizziness,History of Migraines,Migraine

Chest Pain,Shortness of Breath,Arm Pain,High Blood Pressure,Heart Attack

Itchy Eyes,Sneezing,Runny Nose,Allergies to Pollen,Hay Fever

Abdominal Pain,Bloating,Diarrhea,Recent Antibiotic Use,Gastroenteritis

Sore Throat,Fever,Body Aches,None,Common Cold

Rash,Fever,Joint Pain,Recent Travel to Asia,Measles

Frequent Urination,Excessive Thirst,Weight Loss,Family History of Diabetes,Diabetes

Wheezing,Cough,Shortness of Breath,History of Asthma,Asthma Attack

Fever,Stiff Neck,Confusion,None,Meningitis

Runny Nose,Congestion,Facial Pain,Recent Sinus Infection,Sinusitis

Fever,Vomiting,Abdominal Cramps,Lactose Intolerance,Gastroenteritis

Fatigue,Muscle Aches,Loss of Appetite,Stressful Life Events,Depression

Cough,Chest Tightness,Shortness of Breath,Smoking for 20 Years,Chronic Obstructive Pulmonary Disease (COPD)

